/* DATA DESCRIPTION:
Citation:	Buchmann, Nina; Temperton, Vicky (2015): Aboveground community and species-specific plant biomass from the Jena Experiment (Main Experiment, year 2004). PANGAEA, https://doi.org/10.1594/PANGAEA.846319, 
	In: Weigelt, Alexandra; De Luca, Enrica; Roscher, Christiane; Temperton, Vicky; Buchmann, Nina; Fischer, Markus; Scherer-Lorenzen, Michael; Schmid, Bernhard; Schulze, Ernst-Detlef; Weisser, Wolfgang; Luo, Guangjuan; Meyer, Sebastian Tobias (2016): Collection of aboveground community and species-specific plant biomass from the Jena Experiment (time series since 2002). PANGAEA, https://doi.org/10.1594/PANGAEA.866358
Abstract:	This data set contains aboveground community biomass (Sown plant community, Weed plant community, Dead plant material, and Unidentified plant material; all measured in biomass as dry weight) and species-specific biomass from the sown species of the main experiment plots of a large grassland biodiversity experiment (the Jena Experiment; see further details below). In the main experiment, 82 grassland plots of 20 x 20 m were established from a pool of 60 species belonging to four functional groups (grasses, legumes, tall and small herbs). In May 2002, varying numbers of plant species from this species pool were sown into the plots to create a gradient of plant species richness (1, 2, 4, 8, 16 and 60 species) and functional richness (1, 2, 3, 4 functional groups). Plots were maintained by bi-annual weeding and mowing. 
	Aboveground community biomass was harvested twice in 2004 just prior to mowing (during peak standing biomass in late May and in late August) on all experimental plots of the main experiment. This was done by clipping the vegetation at 3 cm above ground in four rectangles of 0.2 x 0.5 m per large plot. The location of these rectangles was assigned prior to each harvest by random selection of coordinates within the core area of the plots (i.e. the central 10 x 15 m). The positions of the rectangles within plots were identical for all plots. The harvested biomass was sorted into categories: individual species for the sown plant species, weed plant species (species not sown at the particular plot), detached dead plant material (i.e., dead plant material in the data file), and remaining plant material that could not be assigned to any category (i.e., unidentified plant material in the data file). All biomass was dried to constant weight (70°C, >= 48 h) and weighed. Sown plant community biomass was calculated as the sum of the biomass of the individual sown species. The data for individual samples and the mean over samples for the biomass measures on the community level are given. Overall, analyses of the community biomass data have identified species richness as well as functional group composition as important drivers of a positive biodiversity-productivity relationship.
Related to:	Roscher, Christiane; Temperton, Vicky; Scherer-Lorenzen, Michael; Schmid, Bernhard; Schmitz, Martin; Schumacher, Jens; Buchmann, Nina; Weisser, Wolfgang; Schulze, Ernst-Detlef (2005): Overyielding in experimental grassland communities - irrespective of species pool or spatial scale. Ecology Letters, 8(4), 419-429, https://doi.org/10.1111/j.1461-0248.2005.00736.x
	Weigelt, Alexandra; Marquard, Elisabeth; Temperton, Vicky; Roscher, Christiane; Scherber, Christoph; Mwangi, Peter N; von Felten, Stefanie; Buchmann, Nina; Schmid, Bernhard; Schulze, Ernst-Detlef; Weisser, Wolfgang (2010): The Jena Experiment: six years of data from a grassland biodiversity experiment. Ecology, 91(3), 930-931, https://doi.org/10.1890/09-0863.1
Further details:	Plot information of the Jena Main Experiment (URI: http://store.pangaea.de/Publications/Jena_Experiment/PlotInformationMainExperiment.txt)
	Treatment description (URI: http://store.pangaea.de/Publications/Jena_Experiment/TreatmentDefinitionsJuly2012.pdf)
	Roscher, Christiane; Schumacher, Jens; Baade, Jussi; Wilcken, Sara; Gleixner, Gerd; Weisser, Wolfgang; Schmid, Bernhard; Schulze, Ernst-Detlef (2004): The role of biodiversity for element cycling and trophic interactions: an experimental approach in a grassland community. Basic and Applied Ecology, 5(2), 107-121, https://doi.org/10.1078/1439-1791-00216
Project(s):	The Jena Experiment (JenExp) (URI: http://www.the-jena-experiment.de/)
Coverage:	LATITUDE: 50.946100 * LONGITUDE: 11.611300
